TransactionID,SellerID,BuyerID,AmountEnergy,Timestamp
T1111,S1114,B1115,500,2024-10-31 20:15:00
T1112,S1113,B1114,900,2024-09-29 07:50:00
T1113,S1112,B1113,900,2025-02-10 10:45:00
T1114,S1112,B1112,900,2025-02-20 09:30:00
T1115,S1112,B1112,850,2025-02-14 10:10:00
T1116,S1112,B1117,400,2024-08-21 16:25:00
T1117,S1111,B1112,800,2025-02-15 19:20:00
T1118,S1111,B1111,800,2025-01-22 17:35:00
T1119,S1111,B1111,750,2024-12-05 11:50:00
T1120,S1111,B1113,700,2024-07-19 05:40:00
T1121,S1115,B1111,700,2025-02-28 08:55:00
T1122,S1112,B1112,700,2024-11-18 14:05:00
T1123,S1112,B1112,650,2024-10-10 08:25:00
T1124,S1111,B1114,600,2024-02-07 08:10:00
T1125,S1114,B1120,600,2025-02-25 21:05:00
T1126,S1111,B1111,600,2024-09-15 16:45:00
T1127,S1111,B1111,550,2024-08-12 12:30:00
T1128,S1111,B1111,500,2023-11-12 14:30:00
T1129,S1113,B1119,500,2025-02-20 14:50:00
T1130,S1113,B1112,450,2024-05-30 22:10:00
T1131,S1111,B1111,450,2025-02-08 19:01:56
T1132,S1112,B1118,400,2025-01-15 09:15:00
T1133,S1114,B1115,350,2024-03-10 19:00:00
T1134,S1112,B1112,300,2023-12-05 09:20:00
T1135,S1111,B1117,300,2024-12-10 18:40:00
T1136,S1112,B1112,300,2025-02-08 19:02:09
T1137,S1113,B1113,250,2024-01-15 17:45:00
T1138,S1112,B1111,200,2024-04-25 13:55:00
T1139,S1115,B1116,200,2024-11-05 12:30:00
T1140,S1115,B1116,150,2024-06-14 11:20:00
T1141,S1111,B1234,500,2025-02-08 19:29:35
T1142,S1234,B1234,450,2025-02-10 16:25:59
T1143,S1111,B1234,700,2025-02-12 10:15:00
T1144,S1111,B1234,650,2025-02-08 15:40:00
T1145,S1111,B1234,600,2024-11-25 18:05:00
T1146,S1111,B1234,550,2024-10-10 20:30:00
T1147,S1111,B1234,500,2024-09-05 09:55:00
T1148,S1199,B1199,450,2025-04-06 17:43:20
T1149,S1149,B1511,150,2025-04-06 18:18:55
T1150,S1121,B1212,120,2025-04-09 00:06:48
T1151,S1111,B1111,45,2025-04-09 00:08:25
T1152,S1111,B1111,450,2025-04-09 15:19:57
